31,184	0,215	3,8	8,621	-10859,336	-10850,715	10896,697	1,479
1007	1,996	3,8	278,387	-336,284	-57,896	1001,675	0,058
2000	1,916	3,8	552,904	-169,319	383,585	1071,045	0,366
3041	1,746	3,8	840,691	-111,357	729,333	1237,710	0,630
4074	1,552	3,8	1126,265	-83,122	1043,144	1445,043	0,807
5000	1,387	3,8	1382,260	-67,728	1314,532	1651,665	0,920
6038	1,221	3,8	1669,217	-56,084	1613,133	1897,946	1,016
7093	1,074	3,8	1960,874	-47,742	1913,132	2158,720	1,089
8034	0,961	3,8	2221,015	-42,151	2178,865	2397,384	1,141
9038	0,855	3,8	2498,573	-37,468	2461,105	2656,509	1,185
10000	0,766	3,8	2764,520	-33,864	2730,656	2908,003	1,220
11050	0,681	3,8	3054,795	-30,646	3024,149	3185,196	1,251
12004	0,612	3,8	3318,530	-28,210	3290,319	3438,925	1,276
